#Theta He10 He15 diff
57.5 7.1529497 7.3373321 -0.184382
57.6 7.3860301 7.5695922 -0.183562
57.7 7.6188614 7.8015926 -0.182731
57.8 7.8513146 8.0332052 -0.181891
57.9 8.0832615 8.2643021 -0.181041
58.0 8.3145740 8.4947561 -0.180182
58.1 8.5451247 8.7244402 -0.179315
58.2 8.7747868 8.9532283 -0.178441
58.3 9.0034340 9.1809949 -0.177561
58.4 9.2309409 9.4076151 -0.176674
58.5 9.4571829 9.6329647 -0.175782
58.6 9.6820360 9.8569208 -0.174885
58.7 9.9053774 10.0793608 -0.173983
58.8 10.1270850 10.3001636 -0.173079
58.9 10.3470381 10.5192089 -0.172171
59.0 10.5651168 10.7363775 -0.171261
59.1 10.7812024 10.9515514 -0.170349
59.2 10.9951775 11.1646138 -0.169436
59.3 11.2069261 11.3754493 -0.168523
59.4 11.4163333 11.5839437 -0.16761
59.5 11.6232857 11.7899842 -0.166698
59.6 11.8276715 11.9934595 -0.165788
59.7 12.0293801 12.1942599 -0.16488
59.8 12.2283028 12.3922773 -0.163975
59.9 12.4243324 12.5874049 -0.163072
60.0 12.6173634 12.7795379 -0.162174
60.1 12.8072920 12.9685732 -0.161281
60.2 12.9940161 13.1544094 -0.160393
60.3 13.1774357 13.3369469 -0.159511
60.4 13.3574524 13.5160881 -0.158636
60.5 13.5339700 13.6917374 -0.157767
60.6 13.7068941 13.8638008 -0.156907
60.7 13.8761325 14.0321869 -0.156054
60.8 14.0415948 14.1968058 -0.155211
60.9 14.2031931 14.3575702 -0.154377
61.0 14.3608414 14.5143947 -0.153553
61.1 14.5144559 14.6671962 -0.15274
61.2 14.6639553 14.8158938 -0.151938
61.3 14.8092604 14.9604088 -0.151148
61.4 14.9502943 15.1006651 -0.150371
61.5 15.0869826 15.2365887 -0.149606
61.6 15.2192532 15.3681081 -0.148855
61.7 15.3470366 15.4951543 -0.148118
61.8 15.4702656 15.6176605 -0.147395
61.9 15.5888755 15.7355628 -0.146687
62.0 15.7028043 15.8487996 -0.145995
62.1 15.8119924 15.9573118 -0.145319
62.2 15.9163829 16.0610430 -0.14466
62.3 16.0159216 16.1599393 -0.144018
